Sentence,Sentiment,processed_text,sentiment_text
Around 250 of these reductions will be implemented through pension arrangements .,neutral,Around 250 of these reductions will be implemented through pension arrangements .,
Sainsbury's says to outperform rivals in tough market,positive,Sainsbury's says to outperform rivals in tough market,
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,positive,Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,positive,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX,
Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .,neutral,Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .,
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,positive,The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,
"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",neutral,"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",
Hargreaves Lansdown share price falls as costs mount - although pensions ...,negative,Hargreaves Lansdown share price falls as costs mount - although pensions ...,
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",
InterContinental Hotels Denies Reports of Starwood Merger Talks,neutral,InterContinental Hotels Denies Reports of Starwood Merger Talks,
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,positive,Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",neutral,"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',positive,`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",positive,"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,positive,$YMI Long setup. Closed above the 20MA. MACD cross. November catalyst.,
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",negative,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",
"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .",neutral,"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .",
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",neutral,"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,positive,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",positive,"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral,"An of the invention , released by the Patent Office , said : `` The chambers are pressurized .",
"In the Baltic countries , sales fell by 42.6 % .",neutral,"In the Baltic countries , sales fell by 42.6 % .",
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",positive,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",
"The mill 's raw material need will increase by 100,000 m3 of wood .",neutral,"The mill 's raw material need will increase by 100,000 m3 of wood .",
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",neutral,"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",neutral,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,positive,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,
"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",neutral,"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",
$PCLN runs into the 50sma on the acquisition news,positive,$PCLN runs into the 50sma on the acquisition news,
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,
$TZA is a rocket ship!!!,positive,$TZA is a rocket ship!!!,
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",positive,"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",
Industry Investment is very interested in Glaston 's solar energy projects .,positive,Industry Investment is very interested in Glaston 's solar energy projects .,
The winner does not have to be present to win .,neutral,The winner does not have to be present to win .,
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,
"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,"Furthermore , our fully electrically driven cranes are environmentally friendly .",
Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,positive,Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,neutral,It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,
Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,positive,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,
"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",neutral,"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",
"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",neutral,"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",
Halonen 's office acknowledged receiving the letter but declined comment .,neutral,Halonen 's office acknowledged receiving the letter but declined comment .,
"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",neutral,"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,
"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",positive,"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",
$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,positive,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",neutral,"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive,"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",
The combined capital of these funds is expected to be EUR 100mn-150mn .,neutral,The combined capital of these funds is expected to be EUR 100mn-150mn .,
"The total headcount reduction will be 50 persons , the company said .",negative,"The total headcount reduction will be 50 persons , the company said .",
The aim is to develop open-source application solutions .,neutral,The aim is to develop open-source application solutions .,
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral,"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",
Retailers Kingfisher and Sports Direct rise in Britain's share index,positive,Retailers Kingfisher and Sports Direct rise in Britain's share index,
Persimmon share price climbs on 23% rise in full-year revenue,positive,Persimmon share price climbs on 23% rise in full-year revenue,
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",
"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",neutral,"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",
Tesco's Sales Pickup Isn't Enough,negative,Tesco's Sales Pickup Isn't Enough,
$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,neutral,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,"The poorest index figure was given to Finnish power company Fortum , 4.5 .",
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,
"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",neutral,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",
The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,neutral,The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",positive,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short""",
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,neutral,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,
"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",positive,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take",
"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive,"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",
"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,positive,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,
"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",neutral,"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",
"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",neutral,"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",
AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive,AstraZeneca weighing up Acerta bid to secure blood cancer drug,
$HRL ready to pop! http://stks.co/s0Ny4,positive,$HRL ready to pop!,
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,positive,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,
Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,neutral,Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,
"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",
Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,
"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",neutral,"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",
Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,neutral,Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,
$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,positive,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,
Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,
Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",neutral,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,neutral,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative,"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",
"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",neutral,"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",
18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at .,
Operating profit margin increased from 11.2 % to 11.7 % .,positive,Operating profit margin increased from 11.2 % to 11.7 % .,
"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",negative,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral,"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",
"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",positive,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",
"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",neutral,"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",
"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew .",neutral,"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew .",
"$WFM Bought a little yesterday, hoping for an earnings pop.",positive,"$WFM Bought a little yesterday, hoping for an earnings pop.",
"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",positive,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",
Odell has not contacted the State of Finland in this issue .,neutral,Odell has not contacted the State of Finland in this issue .,
Borealis Infrastructure putting together new Severn Trent bid,positive,Borealis Infrastructure putting together new Severn Trent bid,
"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",neutral,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",
"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive,"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",
"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",neutral,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",
The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral,The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",neutral,"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",neutral,"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",
"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",neutral,"Amer Sports divests an industrial site in Rumilly , France - This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",
"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",neutral,"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",positive,"RT FITZSTOCK2004: $IYT the Transports always lead the way, and they broke DT line 1st, MACD cross, bull flag=",
"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",
The diesel margin has remained high .,positive,The diesel margin has remained high .,
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",positive,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",
"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",positive,"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",
The maximum number of new shares to be offered is 22 million .,neutral,The maximum number of new shares to be offered is 22 million .,
"Marimekko makes all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the better to take advantage of shoppers who ca n't commit to furniture but want a piece of the action .",neutral,"Marimekko makes all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the better to take advantage of shoppers who ca n't commit to furniture but want a piece of the action .",
"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",neutral,"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",
"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",
"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,"The guidance has been set at 90 basis points over mid-swaps , the report said .",
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",neutral,"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",
"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",negative,"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",
The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,neutral,The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,
"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,positive,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,
"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .",positive,"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .",
The four-year contract between the bank and Ski Sport Finland will bring the bank 's advertisements to skiers helmets and caps .,neutral,The four-year contract between the bank and Ski Sport Finland will bring the bank 's advertisements to skiers helmets and caps .,
"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",
"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",neutral,"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",
"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",neutral,"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",
We have made long-term investments in developing the system 's implementation model .,neutral,We have made long-term investments in developing the system 's implementation model .,
"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",positive,"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",
$AAPL I am big OUT from this. seems its falling towards 530.. :(,negative,$AAPL I am big OUT from this. seems its falling towards 530.. :(,
"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",neutral,"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",
Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,
"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",positive,"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",
"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",
The contract will take effect in 2009 for a five or ten year period .,neutral,The contract will take effect in 2009 for a five or ten year period .,
"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",neutral,"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",
Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,neutral,Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,
Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,neutral,Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,
"Finnish property investment company Citycon will expand and refurbish +àkersberga shopping center in Stockholm , in Sweden .",neutral,"Finnish property investment company Citycon will expand and refurbish +àkersberga shopping center in Stockholm , in Sweden .",
5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,positive,5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here:,
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",
Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy .,neutral,Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy .,
"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",neutral,"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",positive,"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",
The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,
